指令,模型名称,提示词方法,解析成功率,解析正确率,响应时间(s),解析结果,错误信息,错误类型,复杂度分级,意图标签,意图识别准确率,参数抽取准确率,合法JSON率,参数匹配F1,失败兜底成功率,area_正确率,drone_num_正确率,path_正确率,has_obstacle_正确率,obstacle_position_正确率,height_正确率
我要对 A01 地块进行巡检，使用 3 台无人机,doubao-1-5-pro-32k-250115,普通提示词,True,True,2.797,"{""area"": ""A01"", ""drone_num"": 3, ""path"": ""zigzag"", ""area_bounds"": [0, 0, 200, 150], ""has_obstacle"": false, ""obstacle_position"": null, ""height"": 10}",,,简单,巡检,True,1.0,True,1.0,False,True,True,True,True,True,True
我要对 A01 地块进行巡检，使用 3 台无人机,doubao-1-5-pro-32k-250115,普通提示词,True,True,2.5388,"{""area"": ""A01"", ""drone_num"": 3, ""path"": ""zigzag"", ""area_bounds"": null, ""has_obstacle"": false, ""obstacle_position"": null, ""height"": 10}",,,简单,巡检,True,1.0,False,1.0,False,True,True,True,True,True,True
我要对 A01 地块进行巡检，使用 3 台无人机,doubao-1-5-pro-32k-250115,普通提示词,True,True,2.2228,"{""area"": ""A01"", ""drone_num"": 3, ""path"": ""zigzag"", ""area_bounds"": [0, 0, 200, 150], ""has_obstacle"": false, ""obstacle_position"": null, ""height"": 10}",,,简单,巡检,True,1.0,True,1.0,False,True,True,True,True,True,True
我要对 A01 地块进行巡检，使用 3 台无人机,doubao-1-5-pro-32k-250115,普通提示词,True,True,3.0298,"{""area"": ""A01"", ""drone_num"": 3, ""path"": ""zigzag"", ""area_bounds"": [0, 0, 200, 150], ""has_obstacle"": false, ""obstacle_position"": null, ""height"": 10}",,,简单,巡检,True,1.0,True,1.0,False,True,True,True,True,True,True
我要对 A01 地块进行巡检，使用 3 台无人机,doubao-1-5-pro-32k-250115,普通提示词,True,True,3.0764,"{""area"": ""A01"", ""drone_num"": 3, ""path"": ""zigzag"", ""area_bounds"": [0, 0, 200, 150], ""has_obstacle"": false, ""obstacle_position"": null, ""height"": 10}",,,简单,巡检,True,1.0,True,1.0,False,True,True,True,True,True,True
巡检 B02 地块，高度 8 米，发现障碍自动绕开,doubao-1-5-pro-32k-250115,普通提示词,True,False,3.7836,"{""area"": ""B02"", ""drone_num"": 1, ""path"": null, ""area_bounds"": null, ""has_obstacle"": true, ""obstacle_position"": null, ""height"": 8}",,类型错误: path(NoneType≠str),简单,巡检,False,0.6667,False,0.6667,False,True,False,False,True,True,True
巡检 B02 地块，高度 8 米，发现障碍自动绕开,doubao-1-5-pro-32k-250115,普通提示词,True,False,2.5958,"{""area"": ""B02"", ""drone_num"": 1, ""path"": null, ""area_bounds"": null, ""has_obstacle"": true, ""obstacle_position"": null, ""height"": 8}",,类型错误: path(NoneType≠str),简单,巡检,False,0.6667,False,0.6667,False,True,False,False,True,True,True
巡检 B02 地块，高度 8 米，发现障碍自动绕开,doubao-1-5-pro-32k-250115,普通提示词,True,False,2.2392,"{""area"": ""B02"", ""drone_num"": 1, ""path"": null, ""area_bounds"": null, ""has_obstacle"": true, ""obstacle_position"": null, ""height"": 8}",,类型错误: path(NoneType≠str),简单,巡检,False,0.6667,False,0.6667,False,True,False,False,True,True,True
巡检 B02 地块，高度 8 米，发现障碍自动绕开,doubao-1-5-pro-32k-250115,普通提示词,True,False,2.011,"{""area"": ""B02"", ""drone_num"": 1, ""path"": null, ""area_bounds"": null, ""has_obstacle"": true, ""obstacle_position"": null, ""height"": 8}",,类型错误: path(NoneType≠str),简单,巡检,False,0.6667,False,0.6667,False,True,False,False,True,True,True
巡检 B02 地块，高度 8 米，发现障碍自动绕开,doubao-1-5-pro-32k-250115,普通提示词,True,False,2.6522,"{""area"": ""B02"", ""drone_num"": 1, ""path"": null, ""area_bounds"": null, ""has_obstacle"": true, ""obstacle_position"": null, ""height"": 8}",,类型错误: path(NoneType≠str),简单,巡检,False,0.6667,False,0.6667,False,True,False,False,True,True,True
同时巡检 A01 和 B02 两个地块，每台无人机负责一个区域,doubao-1-5-pro-32k-250115,普通提示词,True,False,2.5985,"{""area"": ""A01, B02"", ""drone_num"": 2, ""path"": null, ""area_bounds"": null, ""has_obstacle"": false, ""obstacle_position"": null, ""height"": null}",,"类型错误: path(NoneType≠str),height(NoneType≠int)",简单,巡检,False,0.5,False,0.5,False,False,True,False,True,True,False
同时巡检 A01 和 B02 两个地块，每台无人机负责一个区域,doubao-1-5-pro-32k-250115,普通提示词,True,False,3.3251,"{""area"": ""A01, B02"", ""drone_num"": 2, ""path"": null, ""area_bounds"": null, ""has_obstacle"": false, ""obstacle_position"": null, ""height"": null}",,"类型错误: path(NoneType≠str),height(NoneType≠int)",简单,巡检,False,0.5,False,0.5,False,False,True,False,True,True,False
同时巡检 A01 和 B02 两个地块，每台无人机负责一个区域,doubao-1-5-pro-32k-250115,普通提示词,True,False,2.7181,"{""area"": ""A01, B02"", ""drone_num"": 2, ""path"": null, ""area_bounds"": null, ""has_obstacle"": false, ""obstacle_position"": null, ""height"": null}",,"类型错误: path(NoneType≠str),height(NoneType≠int)",简单,巡检,False,0.5,False,0.5,False,False,True,False,True,True,False
同时巡检 A01 和 B02 两个地块，每台无人机负责一个区域,doubao-1-5-pro-32k-250115,普通提示词,True,False,2.7207,"{""area"": ""A01, B02"", ""drone_num"": 2, ""path"": null, ""area_bounds"": null, ""has_obstacle"": false, ""obstacle_position"": null, ""height"": null}",,"类型错误: path(NoneType≠str),height(NoneType≠int)",简单,巡检,False,0.5,False,0.5,False,False,True,False,True,True,False
同时巡检 A01 和 B02 两个地块，每台无人机负责一个区域,doubao-1-5-pro-32k-250115,普通提示词,True,False,2.4966,"{""area"": ""A01, B02"", ""drone_num"": 2, ""path"": null, ""area_bounds"": null, ""has_obstacle"": false, ""obstacle_position"": null, ""height"": null}",,"类型错误: path(NoneType≠str),height(NoneType≠int)",简单,巡检,False,0.5,False,0.5,False,False,True,False,True,True,False
对 C03 地块进行病虫害专项检测，拍摄高清照片,doubao-1-5-pro-32k-250115,普通提示词,True,False,2.6267,"{""area"": ""C03"", ""drone_num"": 1, ""path"": ""zigzag"", ""area_bounds"": null, ""has_obstacle"": false, ""obstacle_position"": null, ""height"": 10}",,"数值错误: path,height",简单,病虫害检测,False,0.6667,False,0.6,False,True,True,False,True,True,False
对 C03 地块进行病虫害专项检测，拍摄高清照片,doubao-1-5-pro-32k-250115,普通提示词,True,False,2.7987,"{""area"": ""C03"", ""drone_num"": 1, ""path"": ""zigzag"", ""area_bounds"": null, ""has_obstacle"": false, ""obstacle_position"": null, ""height"": 10}",,"数值错误: path,height",简单,病虫害检测,False,0.6667,False,0.6,False,True,True,False,True,True,False
对 C03 地块进行病虫害专项检测，拍摄高清照片,doubao-1-5-pro-32k-250115,普通提示词,True,False,2.5331,"{""area"": ""C03"", ""drone_num"": 1, ""path"": ""grid"", ""area_bounds"": null, ""has_obstacle"": false, ""obstacle_position"": null, ""height"": 10}",,数值错误: height,简单,病虫害检测,True,0.8333,False,0.8,False,True,True,True,True,True,False
对 C03 地块进行病虫害专项检测，拍摄高清照片,doubao-1-5-pro-32k-250115,普通提示词,True,False,2.3276,"{""area"": ""C03"", ""drone_num"": 1, ""path"": ""zigzag"", ""area_bounds"": null, ""has_obstacle"": false, ""obstacle_position"": null, ""height"": 10}",,"数值错误: path,height",简单,病虫害检测,False,0.6667,False,0.6,False,True,True,False,True,True,False
对 C03 地块进行病虫害专项检测，拍摄高清照片,doubao-1-5-pro-32k-250115,普通提示词,True,False,2.4829,"{""area"": ""C03"", ""drone_num"": 1, ""path"": ""zigzag"", ""area_bounds"": null, ""has_obstacle"": false, ""obstacle_position"": null, ""height"": 10}",,"数值错误: path,height",简单,病虫害检测,False,0.6667,False,0.6,False,True,True,False,True,True,False
让无人机在 10 米高度绕农田飞行一圈,doubao-1-5-pro-32k-250115,普通提示词,True,False,2.7612,"{""area"": null, ""drone_num"": 1, ""path"": ""circular"", ""area_bounds"": null, ""has_obstacle"": false, ""obstacle_position"": null, ""height"": 10}",,类型错误: area(NoneType≠str),简单,未知,True,0.5,False,0.4444,False,False,False,False,True,True,True
让无人机在 10 米高度绕农田飞行一圈,doubao-1-5-pro-32k-250115,普通提示词,True,False,2.7891,"{""area"": null, ""drone_num"": 1, ""path"": ""circle"", ""area_bounds"": null, ""has_obstacle"": false, ""obstacle_position"": null, ""height"": 10}",,类型错误: area(NoneType≠str),简单,未知,True,0.5,False,0.4444,False,False,False,False,True,True,True
让无人机在 10 米高度绕农田飞行一圈,doubao-1-5-pro-32k-250115,普通提示词,True,False,2.6292,"{""area"": null, ""drone_num"": 1, ""path"": ""circle"", ""area_bounds"": null, ""has_obstacle"": false, ""obstacle_position"": null, ""height"": 10}",,类型错误: area(NoneType≠str),简单,未知,True,0.5,False,0.4444,False,False,False,False,True,True,True
